station_name,country,date,temp_celsius
ARMUCHEE #1 GEORGIA,US,31-12-2024,18.3
ENKOPING_MO,SW,31-12-2024,-1.5
CLYDE RIVER CLIMATE,CA,31-12-2024,-20.8
BOERNE STAGE FIELD AP,US,31-12-2024,18.9
GLADWIN,US,31-12-2024,7.2
PARRAMATTA NORTH (MASONS DRIVE,AS,31-12-2024,30
COOKTOWN AIRPORT,AS,31-12-2024,31.8
KAMAS,US,31-12-2024,-5
WILLIAMS 35 NNW,US,31-12-2024,8.9
THREE LYNX,US,31-12-2024,6.7
PETERSBURG,US,31-12-2024,12.8
FINDLAY AP,US,31-12-2024,6.7
ALFELD,GM,31-12-2024,2.1
DURANGO 8S,US,31-12-2024,7.2
TAHOE CITY,US,31-12-2024,2.2
Hickerson Park,US,31-12-2024,-9.1
ROME STATE AP,US,31-12-2024,2.8
PASADENA,US,31-12-2024,17.8
BALLYSHANNON (CATHLEENS FALL),EI,31-12-2024,11.7
GELDERN-WALBECK,GM,31-12-2024,5.3
KINGSTON SPRINGS,US,31-12-2024,17.8
BALLINA AIRPORT AWS,AS,31-12-2024,28.1
KISSIMMEE PRAIRIE PRESERVE,US,31-12-2024,25.6
WOBURN,UK,31-12-2024,11.9
GOLD HILL WASHINGTON,US,31-12-2024,3.3
MOLINE QUAD CITY INTL AP,US,31-12-2024,3.9
PORT AUSTIN WWTP,US,31-12-2024,4.4
BALHASH,KZ,31-12-2024,-0.8
Sonora Pass,US,31-12-2024,4.4
SPARTA WWTP,US,31-12-2024,16.7
WALHALLA,US,31-12-2024,17.8
HOMESTEAD GEN AVIATION AP,US,31-12-2024,30
LA HONDA CALIFORNIA,US,31-12-2024,15.6
WASCO,US,31-12-2024,15.6
APPOMATTOX,US,31-12-2024,14.4
EDEN,US,31-12-2024,17.2
HONDO MUNI AP,US,31-12-2024,23.3
MIERCUREA CIUC,RO,31-12-2024,-0.6
LUKOJANOV,RS,31-12-2024,-0.9
NEW CUYAMA FIRE STN,US,31-12-2024,10.6
BARNABY CALIFORNIA,US,31-12-2024,15
SION 2,SZ,31-12-2024,6.1
UMIAT AIRFIELD ALASKA,US,31-12-2024,-38.3
UTSJOKI KEVO KEVOJARVI,FI,31-12-2024,2.1
SAN JULIAN,AR,31-12-2024,22
OLD HICKORY WFO,US,31-12-2024,16.7
W PLAINS MUNI AP,US,31-12-2024,10
ONIDA 4 NW,US,31-12-2024,-1.7
LOWELL WWTP,US,31-12-2024,6.1
SACRAMENTO 5 ESE,US,31-12-2024,15
SAVRIV SOUTH CAROLINA,US,31-12-2024,23.1
DEAVER,US,31-12-2024,0.6
SEMARANG,ID,31-12-2024,32.4
WICHITA,US,31-12-2024,5.6
BOLLON MARY ST,AS,31-12-2024,38
WELDER WILDLIFE FOUNDATION,US,31-12-2024,31.1
WATSONVILLE WTR WKS,US,31-12-2024,16.1
Swift Creek,US,31-12-2024,-1.4
ROTE/BAA/LEKUNIK,ID,31-12-2024,30.2
GAFSA,TS,31-12-2024,15.4
Emigrant Summit,US,31-12-2024,-7.3
EL CAMPO,US,31-12-2024,26.1
WHITEWATER WWTP,US,31-12-2024,2.8
KVIKKJOKK-ARRENJARKA A,SW,31-12-2024,-1.7
SALISBURY,US,31-12-2024,15.6
POTOMAC,US,31-12-2024,1.1
CHOCTAW NAVAL OUTLYING FLD MIL,US,31-12-2024,24.4
OLATHE JOHNSON CO IND AP,US,31-12-2024,3.9
AUSTIN EXECUTIVE AP,US,31-12-2024,18.9
HORSE RIDGE UTAH,US,31-12-2024,-4.4
HARRISVILLE,US,31-12-2024,12.8
DUNKIRK,US,31-12-2024,10
HUMA,CH,31-12-2024,-24.9
BAITING HOLLOW,US,31-12-2024,15.6
UTKLIPPAN,SW,31-12-2024,7.4
EAST SALE AIRPORT,AS,31-12-2024,25.3
BALE MULHOUSE,FR,31-12-2024,5.4
TULLAHOMA,US,31-12-2024,15
GARDEN CITY EXP STN,US,31-12-2024,15
POMMELSBRUNN-MITTELBURG,GM,31-12-2024,-2.5
GROSS RSVR,US,31-12-2024,1.1
FLINT FCWOS,US,31-12-2024,2.8
ST CHARLES ELM PT,US,31-12-2024,11.1
IDAHO FALLS 46 W,US,31-12-2024,-1.1
DECORAH MUNI AP,US,31-12-2024,0
WARREN 3 S,US,31-12-2024,3.3
PRETTY ROCK,US,31-12-2024,-3.9
DAL BANDIN,PK,31-12-2024,21
BARNHART TEXAS,US,31-12-2024,15.6
WINONA MUNI AP,US,31-12-2024,0
Lucky Strike,US,31-12-2024,-1.3
BORDEAUX-MERIGNAC,FR,31-12-2024,1.6
KEMCHUG,RS,31-12-2024,-7.7
MEDICINE BOW,US,31-12-2024,-5
QAISUMAH,SA,31-12-2024,18.2
ROSE PEAK CALIFORNIA,US,31-12-2024,12.8
GRANDVILLE 1 SW,US,31-12-2024,7.8
WESTERVILLE,US,31-12-2024,10
GLENNIE 2SE,US,31-12-2024,3.3
AGADEZ,NG,31-12-2024,28.2
